Gene	PDX080	PDX085	PDX090	PDX089	PDX092	PDX323	PDX641	PDX644
ELOVL5	1868	1528	1931	2122	2666	2893	1650	1501
ELOVL6	480	293	342	353	502	400	246	272
ELOVL7	43	71	19	34	42	30	42	46
ELP2	7807	5511	4168	5526	6502	5003	7162	5092
ELP3	1415	1075	1181	1203	1614	1327	1312	1172
ELP4	297	244	218	207	235	168	170	157
ELP5	212	162	189	193	216	210	281	228
ELP6	254	213	195	222	225	208	248	208
ELSPBP1	0	0	0	0	0	0	0	0
EMB	148	172	299	259	465	306	317	422
EMBP1	0	1	4	2	13	2	1	3
EMC1	1626	1163	1159	1245	1580	1291	1467	1361
EMC10	1675	1148	875	988	1438	953	2027	1697
EMC2	1727	1430	1554	1543	1925	1561	1417	1364
EMC3	1522	1345	892	943	1218	860	978	1031
EMC4	798	570	493	589	729	564	717	710
EMC6	122	99	94	89	126	96	104	85
EMC7	668	556	544	517	685	516	676	662
EMC8	294	252	229	255	315	236	278	236
EMC9	166	117	126	167	139	111	183	161
EMCN	0	0	0	1	0	0	0	0
EMD	173	178	164	237	229	185	196	148
EME1	300	322	244	180	146	127	196	145
EME2	90	74	58	90	84	82	54	37
EMG1	780	564	476	574	571	467	771	596
EMID1	446	306	210	231	306	205	371	339
EMILIN1	21	18	18	25	19	14	17	18
EMILIN2	3	2	0	2	4	1	4	2
EMILIN3	1	1	2	4	2	1	3	3
EML1	311	202	271	297	564	381	887	667
EML2	773	528	350	442	413	358	481	344
EML2-AS1	13	7	7	3	7	6	8	9
EML3	130	139	94	134	106	132	108	94
EML4	998	878	839	878	1023	779	825	781
EML5	341	494	437	449	650	484	586	558
EML6	14	11	37	38	45	26	39	37
EMP1	204	132	78	71	45	53	32	74
EMP2	2579	1611	6768	6717	6331	5250	1987	1696
EMP3	11	10	15	11	12	10	7	2
EMSY	1103	1093	1246	1520	1528	1353	1276	1095
EMX1	5	13	10	11	8	16	30	15
EMX2	1	0	0	1	2	3	1	2
EMX2OS	0	0	1	0	0	0	0	0
EN1	4	0	3	0	2	5	3	5
EN2	26	42	71	120	81	61	62	58
ENAH	14430	10528	12916	14363	14402	12272	11058	10284
ENAM	0	0	0	0	0	0	1	3
ENC1	187	119	195	184	299	188	342	345
ENDOD1	93	57	384	326	655	520	619	713
ENDOG	123	85	152	205	297	187	189	143
ENDOU	47	68	51	86	45	52	0	1
ENDOV	573	485	645	761	723	622	584	460
ENG	37	6	37	24	34	41	20	43
ENGASE	357	326	430	582	454	431	339	247
ENHO	79	98	48	50	58	51	92	66
ENKD1	102	86	68	125	105	99	129	107
ENKUR	4	8	11	10	24	36	38	38
ENO1	4617	2901	3450	4099	4066	3233	4658	4060
ENO1-AS1	7	4	2	8	8	2	7	2
ENO2	1016	836	571	674	660	577	1556	1314
ENO3	19	18	26	24	40	32	32	32
ENO4	54	54	38	55	67	53	53	41
ENOPH1	1072	963	723	825	1082	822	897	949
ENOSF1	961	916	794	935	802	781	819	514
ENOX1	65	35	68	91	107	72	112	80
ENOX2	319	233	252	278	317	247	297	287
ENPEP	2	4	6	3	5	2	5	3
ENPP1	892	675	189	165	202	132	229	272
ENPP2	9	2	20	17	29	13	117	399
ENPP3	10	10	0	8	3	2	3	1
ENPP4	521	527	213	189	402	334	423	430
ENPP5	1352	1454	534	605	856	792	678	577
ENPP6	0	1	0	0	0	1	0	0
ENPP7	0	1	0	0	0	1	0	0
ENSA	2553	2068	1657	1866	2111	1869	2146	2055
ENTHD1	0	2	1	0	0	1	0	1
ENTHD2	294	288	350	542	434	424	399	257
ENTPD1	27	18	111	129	129	161	37	45
ENTPD1-AS1	43	78	90	103	85	77	64	41
ENTPD2	35	15	41	51	39	30	12	9
ENTPD3	28	6	12	16	11	6	20	12
ENTPD3-AS1	19	34	18	21	28	24	17	9
ENTPD4	979	854	1551	1771	2145	1716	1972	1538
ENTPD5	88	115	76	78	76	59	49	35
ENTPD6	750	479	536	647	648	526	744	586
ENTPD7	584	474	778	866	934	810	619	586
ENTPD8	7	3	15	13	15	11	4	3
ENY2	1804	1398	1543	1754	2215	1686	1734	1844
EOGT	195	190	386	361	445	375	307	289
EOMES	0	0	0	0	0	0	0	0
EP300	3352	3371	3832	4619	4175	3643	2416	2231
EP400	915	943	1215	1572	1246	1172	579	539
EP400NL	252	324	292	292	272	259	142	110
EPAS1	172	228	163	275	352	409	799	621
EPB41	2385	2676	2333	2700	2641	2656	2170	1983
EPB41L1	460	472	739	871	1096	921	1252	992
EPB41L2	90	75	150	125	180	134	206	219
EPB41L3	789	372	2694	2932	4207	3331	3219	2803
EPB41L4A	73	47	777	1005	843	669	234	180
EPB41L4A-AS1	626	459	282	393	466	412	697	555
EPB41L4A-AS2	2	0	21	17	25	11	9	3
EPB41L4B	481	472	368	439	440	378	475	470
EPB41L5	3097	2790	2237	2515	2433	2108	1743	1629
EPB42	0	0	0	0	0	0	0	0
EPC1	752	735	741	799	956	762	734	714
EPC2	1150	1195	1234	1259	1481	1233	1241	1381
EPCAM	1514	1095	1244	1235	1580	1233	1611	1658
EPDR1	194	182	283	240	342	265	160	168
EPG5	2862	2736	1888	2474	2590	2210	2239	1768
EPGN	6	12	7	11	8	6	7	4
EPHA1	557	350	529	739	663	564	524	317
EPHA1-AS1	1	1	5	4	3	2	1	3
EPHA10	326	308	191	238	249	204	244	194
EPHA2	3	0	2	2	2	0	2	1
EPHA3	16	20	21	19	23	17	25	42
EPHA4	189	100	277	332	938	740	1538	886
EPHA5	1	1	19	16	28	16	9	30
EPHA5-AS1	1	0	2	1	1	1	1	1
EPHA6	4	6	46	54	56	30	30	19
EPHA7	5	9	6	11	13	7	10	7
EPHA8	52	33	239	226	306	263	210	155
EPHB1	22	53	40	56	48	42	14	16
EPHB2	138	107	240	260	376	291	331	311
EPHB3	196	131	100	94	108	80	130	118
EPHB4	1421	1295	974	1243	1034	868	486	410
EPHB6	10	9	9	11	2	6	11	9
EPHX1	586	527	1717	1860	2390	2101	1145	1268
EPHX2	873	748	287	365	507	555	533	419
EPHX3	4	3	6	7	2	4	2	0
EPHX4	21	37	2	4	3	4	6	7
EPM2A	423	390	341	394	539	389	509	445
EPM2AIP1	1706	1930	2052	2228	2537	2135	1845	1650
EPN1	931	641	770	971	911	780	712	661
EPN2	608	626	648	765	619	565	424	353
EPN2-AS1	0	0	2	0	0	1	0	0
EPN2-IT1	19	22	33	39	29	26	9	8
EPN3	558	450	453	496	562	521	452	410
EPO	7	1	4	6	7	8	3	2
EPOR	52	54	138	212	108	97	125	55
EPPIN	0	0	0	0	0	0	0	0
EPPIN-WFDC6	0	0	0	0	0	0	0	0
EPPK1	2791	1793	2342	4916	2610	2253	1479	1072
EPRS	9235	5928	5552	6181	7847	5703	6957	6811
EPS15	1248	1412	1177	1319	1432	1096	1084	1241
EPS15L1	479	468	564	687	603	584	502	486
EPS8	2850	2485	1971	2100	2734	2169	1748	1743
EPS8L1	363	215	118	185	113	102	157	113
EPS8L2	795	458	631	887	717	639	548	323
EPS8L3	0	1	0	4	5	6	2	2
EPSTI1	53	36	32	37	48	44	28	15
EPT1	8369	7192	7175	7217	8913	6559	6859	7313
EPX	1	1	0	2	2	3	0	2
EPYC	0	0	1	0	0	0	1	1
EQTN	0	1	0	0	3	0	0	0
ERAL1	536	461	429	567	578	522	596	539
ERAP1	1205	624	304	307	407	390	404	341
ERAP2	61	27	10	16	32	24	19	17
ERAS	0	0	1	1	0	1	0	0
ERBB2	9494	5896	1806	2623	1595	1478	1288	1068
ERBB3	9029	7716	4079	4992	4540	3766	3046	2275
ERBB4	7313	6079	1333	2101	3005	2100	4007	3063
ERBIN	4056	3834	3509	4074	4350	3438	3489	3063
ERC1	1544	1502	2111	2667	2327	1989	1785	1614
ERC2	77	43	221	258	238	159	127	112
ERC2-IT1	4	4	10	11	4	11	8	4
ERCC1	807	611	535	734	759	638	845	724
ERCC2	247	172	234	341	237	255	271	207
ERCC3	719	671	560	701	698	605	692	582
ERCC4	932	739	1178	1135	1238	998	1090	1211
ERCC5	91	88	83	89	107	112	70	55
ERCC6	953	871	810	825	980	818	753	692
ERCC6-PGBD3	128	138	106	121	150	138	115	77
ERCC6L	175	180	125	76	65	42	56	80
ERCC6L2	1620	1629	1438	1572	1868	1446	1370	1293
ERCC8	494	460	375	443	543	367	373	398
EREG	0	0	3	0	1	1	4	0
ERF	287	186	360	539	464	439	545	449
ERG	3	1	1	2	4	3	4	3
ERGIC1	4824	3861	1838	2031	2192	1598	2565	1962
ERGIC2	1961	1840	1747	1772	2210	1651	1434	1388
ERGIC3	2961	2036	1640	2012	2305	1617	2065	1707
ERH	654	502	414	465	548	424	587	545
ERI1	635	724	838	776	837	640	585	644
ERI2	1382	1419	764	755	977	742	805	719
ERI3	489	439	393	416	565	401	657	625
ERICH1	302	308	394	404	446	402	367	293
ERICH1-AS1	0	0	1	1	1	0	0	0
ERICH3	13	14	277	171	617	384	3210	2215
ERICH4	0	1	0	1	0	0	0	0
ERICH5	0	1	2	0	1	1	0	1
ERICH6	12	20	6	15	19	22	14	14
ERICH6B	0	0	0	0	0	0	0	0
ERLEC1	2647	2350	1238	1323	1933	1418	1702	1832
ERLIN1	411	450	493	531	585	409	300	296
ERLIN2	2117	2011	1783	1779	2029	1648	2079	1923
ERMAP	357	392	315	303	384	286	343	293
ERMARD	380	342	352	389	409	385	432	291
ERMN	1	1	0	0	0	0	0	0
ERMP1	2650	5166	2480	2803	3326	2578	3098	2674
ERN1	362	247	336	396	416	378	448	371
ERN2	0	0	1	0	0	1	0	0
ERO1A	557	421	468	481	698	526	509	466
ERO1B	2513	2677	1175	1279	1010	745	913	941
ERP27	1168	2004	233	244	209	207	290	370
ERP29	486	362	326	323	424	335	549	484
ERP44	768	792	831	943	1122	854	1104	1068
ERRFI1	580	461	778	1558	1591	1794	2119	1569
ERV3-1	965	823	1655	2173	1745	1553	2044	1294
ERVFRD-1	0	1	2	3	3	1	12	21
ERVK13-1	332	436	405	449	504	429	364	228
ERVMER34-1	120	98	112	102	99	65	51	51
ERVV-1	0	0	0	0	0	1	0	0
ERVV-2	0	0	0	0	0	0	0	0
ESAM	1	3	3	3	0	3	2	0
ESCO1	1675	1638	1698	1906	2054	1829	1451	1518
ESCO2	631	1003	544	320	260	172	253	326
ESD	771	735	661	708	921	740	630	627
ESF1	714	830	935	1012	1013	796	874	900
ESM1	0	0	1	1	0	0	0	0
ESPL1	474	492	294	220	182	106	160	169
ESPN	33	29	453	554	296	239	168	131
ESPNL	2	0	3	6	6	12	1	4
ESPNP	14	24	48	58	32	28	7	8
ESR1	14729	18145	8757	10601	10928	9241	10324	7340
ESR2	12	9	9	11	13	6	8	11
ESRG	0	0	0	0	0	0	0	0
ESRP1	6003	4666	3425	4166	4095	3744	3210	2929
ESRP2	893	804	696	975	685	599	377	299
ESRRA	258	135	197	216	248	195	190	147
ESRRB	1	0	1	1	3	0	1	0
ESRRG	60	66	172	176	267	163	152	186
ESX1	0	0	0	0	0	0	0	0
ESYT1	1385	970	1874	2023	2071	1474	1330	992
ESYT2	6788	5717	3989	5337	5135	4361	4841	3735
ESYT3	2	4	78	99	78	117	2	4
ETAA1	1489	1464	1511	1383	1824	1494	994	986
ETF1	2121	1625	1730	1871	2287	1657	2316	2298
ETFA	1700	1452	1026	1113	1311	952	952	939
ETFB	389	324	330	369	417	321	475	451
ETFBKMT	161	176	130	103	158	123	158	129
ETFDH	134	343	194	168	228	178	218	182
ETHE1	169	101	73	100	121	93	130	113
ETNK1	3656	3837	3442	4006	5123	4127	4361	5195
ETNK2	2692	1749	1947	2577	2826	2381	2459	1938
ETNPPL	2	0	3	5	6	3	9	7
ETS1	33	28	35	26	22	18	28	41
ETS2	166	157	220	569	359	320	283	286
ETV1	12	13	28	12	14	17	18	28
ETV2	7	2	6	5	3	7	5	4
ETV3	254	301	228	274	248	257	297	275
ETV3L	0	0	1	1	0	0	0	2
ETV4	19	1	4	2	3	3	7	7
ETV5	8	6	2	6	3	4	3	13
ETV6	536	547	624	779	742	723	547	578
ETV7	5	2	4	7	10	7	6	1
EVA1A	2	1	0	3	2	1	2	3
EVA1B	7	9	2	4	10	7	7	5
EVA1C	18	9	4	4	4	0	0	4
EVC	108	115	89	155	147	111	115	101
EVC2	2	0	2	0	0	0	0	0
EVI2A	7	8	3	3	2	3	15	14
EVI2B	0	0	4	1	3	0	0	0
EVI5	838	659	699	810	932	769	699	665
EVI5L	47	42	50	50	64	60	81	64
EVL	1020	1135	1099	1480	1471	1267	1500	1193
EVPL	837	747	1182	1494	1163	1175	871	562
EVPLL	2	0	0	2	2	1	0	0
EVX1	0	0	1	1	0	0	1	0
EVX2	0	0	1	0	0	0	2	2
EWSAT1	2	8	1	2	0	2	2	2
EWSR1	3454	3135	3631	3874	3473	3134	3647	2693
EXD1	4	2	2	0	1	1	0	0
EXD2	604	452	409	468	526	438	541	393
EXD3	76	72	98	125	103	112	69	52
EXO1	728	808	508	332	217	157	228	282
EXO5	150	153	174	163	159	119	152	177
EXOC1	1652	1467	1356	1465	1688	1324	1677	1334
EXOC2	2082	1782	2522	2638	2916	2166	2616	2258
EXOC3	568	484	613	729	670	598	557	465
EXOC3-AS1	97	81	69	81	120	76	84	91
EXOC3L1	4	1	1	0	0	2	0	0
EXOC3L2	0	0	0	0	0	0	2	0
EXOC3L4	50	124	20	28	16	22	21	11
EXOC4	5065	3969	3457	4364	4603	3727	4250	3360
EXOC5	912	879	1036	1044	1315	1043	922	1048
EXOC6	1218	1232	979	1137	1236	1017	793	731
EXOC6B	541	554	467	668	683	597	562	516
EXOC7	4776	3718	3621	4615	4753	4018	4364	3252
EXOC8	2293	2052	1649	1878	2192	1814	1936	1771
EXOG	130	171	369	407	449	370	296	295
EXOSC1	274	204	190	188	226	207	285	220
EXOSC10	1057	918	961	1069	952	897	958	618
EXOSC2	644	653	662	686	696	521	714	554
EXOSC3	742	1242	584	551	583	498	494	456
EXOSC4	252	165	198	210	293	241	290	270
EXOSC5	206	143	98	157	169	123	194	184
EXOSC6	385	259	219	287	348	288	369	323
EXOSC7	426	232	198	234	266	207	240	188
EXOSC8	166	170	173	182	226	158	227	206
EXOSC9	688	687	629	657	734	629	626	599
EXPH5	1282	896	493	609	604	455	357	358
EXT1	1135	732	1033	1072	1143	1049	1096	1025
EXT2	599	579	438	493	721	529	683	600
EXTL1	62	22	70	72	136	102	146	100
EXTL2	343	236	303	320	440	364	240	290
EXTL3	678	515	454	592	740	522	783	669
EYA1	12	5	22	14	18	32	89	176
EYA2	2	0	0	1	0	2	0	4
EYA3	476	400	584	728	717	619	522	433
EYA4	11	5	339	306	692	784	11	9
EYS	127	35	13	9	37	21	6	18
EZH1	579	509	497	642	716	665	883	537
EZH2	1411	1714	1647	1638	1109	902	645	535
EZR	5055	4139	2525	3762	3544	2926	2713	1912
EZR-AS1	11	7	11	9	5	6	5	4
F10	1	0	2	2	4	0	4	4
F11	0	0	0	0	0	0	0	1
F11-AS1	0	0	0	0	0	0	0	0
F11R	2158	1826	1985	2442	2201	1652	1934	1525
F12	111	67	41	47	54	38	42	51
F13A1	11	19	22	27	23	11	53	41
F13B	0	2	1	2	2	2	0	1
F2	0	0	0	0	1	1	1	1
F2R	78	240	103	149	180	99	87	123
F2RL1	42	53	30	38	29	29	55	50
F2RL2	1	2	0	0	0	0	0	0
F2RL3	0	0	2	0	1	1	0	3
F3	5	4	47	54	129	190	77	80
F5	3	8	5	11	37	34	69	102
F7	44	17	7	12	7	4	11	15
F8	265	228	154	172	261	207	229	205
F8A1	2	2	2	3	4	1	8	1
F9	0	0	0	0	0	0	0	0
FA2H	4	15	18	11	12	7	14	5
FAAH	397	350	346	393	381	330	428	324
FAAH2	128	143	72	111	113	79	62	68
FAAHP1	19	25	11	13	16	15	11	9
FAAP100	925	850	924	1164	1178	992	939	722
FAAP20	79	97	87	148	114	108	101	79
FAAP24	59	55	47	44	50	41	49	49
FABP1	1	1	0	0	1	0	0	0
FABP12	0	0	1	0	0	1	0	0
FABP2	0	0	0	1	0	1	0	0
FABP3	2	2	2	2	7	2	19	9
FABP4	1	3	0	0	1	2	0	0
FABP5	0	0	0	0	0	0	0	0
FABP5P3	2	2	3	2	2	5	1	0
FABP6	7	12	60	52	83	53	93	139
FABP7	2	0	2	2	3	0	2	0
FABP9	0	0	0	0	0	0	0	0
FADD	335	182	246	264	272	205	289	209
FADS1	670	389	905	974	1015	896	660	665
FADS2	2028	858	2113	2276	1777	1481	809	928
FADS3	41	19	40	49	33	42	29	18
FADS6	1	0	10	11	10	7	0	0
FAF1	713	945	671	744	869	746	770	666
FAF2	3310	2956	2682	2723	3163	2346	2894	2460
FAH	601	383	128	237	214	183	159	93
FAHD1	293	240	224	287	289	240	295	237
FAHD2A	80	67	58	53	68	70	52	41
FAHD2B	119	126	56	80	95	89	123	107
FAHD2CP	77	93	39	48	61	51	87	38
FAIM	157	164	175	225	235	227	185	172
FAIM2	4	1	1	1	2	2	2	5
FALEC	13	15	7	20	13	8	21	9
FAM101A	1	0	0	0	0	0	1	1
FAM101B	0	0	0	0	0	0	0	0
FAM102A	842	746	647	1052	990	853	1073	859
FAM102B	5027	4579	2282	2538	2532	2388	1617	2444
FAM103A1	81	71	67	80	91	68	65	86
FAM104A	1618	1680	1619	1636	1966	1618	1430	1328
FAM104B	167	137	125	112	160	111	149	157
FAM105A	71	51	65	41	62	54	62	59
FAM106A	0	0	0	0	1	0	0	0
FAM106CP	1	0	0	0	1	0	1	0
FAM107A	0	0	0	0	0	0	0	0
FAM107B	495	266	183	316	266	255	260	285
FAM109A	92	86	110	153	134	104	128	86
FAM109B	205	158	154	178	142	114	112	107
FAM110A	305	237	446	576	516	474	430	370
FAM110B	918	1244	1555	1981	1935	1621	931	984
FAM110C	199	110	93	112	97	105	149	146
FAM110D	3	1	1	1	1	2	1	5
FAM111A	357	589	297	193	138	107	242	198
FAM111B	710	1366	638	428	310	210	298	407
FAM114A1	1585	988	785	1090	1082	853	945	839
FAM114A2	999	791	824	806	1020	830	817	831
FAM117A	71	82	110	104	110	87	158	109
FAM117B	1484	1240	897	1212	1277	1072	1035	1025
FAM118A	235	230	239	302	285	233	288	222
FAM118B	72	93	193	214	219	131	185	181
FAM120A	4130	3859	3682	4399	4148	3848	3119	3054
FAM120AOS	1367	1394	935	1083	1228	1018	1156	1039
FAM120B	992	1131	1002	1440	1370	1150	936	796
FAM120C	315	263	125	150	280	278	173	186
FAM122A	389	411	394	456	573	439	505	469
FAM122B	738	961	774	745	875	771	450	530
FAM122C	22	17	32	30	50	41	48	25
FAM124A	12	9	3	5	8	3	9	3
FAM124B	0	0	1	0	1	1	1	0
FAM126A	28	23	76	64	66	64	51	101
FAM126B	1629	1505	1695	1640	2003	1617	1280	1657
FAM127A	66	76	122	186	163	138	168	149
FAM127B	27	53	85	78	99	94	109	87
FAM127C	145	144	199	216	207	173	135	116
FAM129A	1678	1703	435	534	337	324	232	169
FAM129B	2681	2159	1848	2522	3164	2641	3121	2591
FAM129C	4	0	2	2	6	0	2	3
FAM131A	200	223	313	381	365	337	417	337
FAM131B	24	10	39	48	103	57	406	332
FAM131C	1	0	1	0	2	1	12	7
FAM132A	1	1	1	3	1	0	0	0
FAM133A	0	0	0	0	0	0	1	2
FAM133B	94	109	127	128	126	115	114	82
FAM133CP	19	10	14	14	15	10	4	12
FAM134A	5143	2606	1714	2181	2498	2053	3300	2629
FAM134B	676	601	335	347	455	360	371	516
FAM134C	2791	2177	1495	1707	2213	1697	2680	2039
FAM135A	65	43	68	57	82	68	135	123
FAM135B	14	21	35	28	74	42	340	463
FAM136A	822	732	870	924	1042	802	919	870
FAM138B	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0
FAM138D	0	0	0	0	0	0	0	0
FAM138E	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0
FAM13A	80	49	112	133	217	197	210	243
FAM13A-AS1	52	71	56	79	106	92	72	53
FAM13B	1226	1224	1361	1553	1670	1322	1262	1352
FAM13C	55	76	206	283	1094	965	1866	2053
FAM149A	14	10	7	8	14	12	13	18
FAM149B1	340	328	306	355	399	325	295	247
FAM150A	0	0	0	0	0	0	0	0
FAM150B	0	1	0	0	0	0	0	0
FAM151A	0	0	0	0	0	0	0	0
FAM151B	330	285	278	304	287	295	273	237
FAM153A	0	0	0	0	0	0	0	0
FAM153B	0	0	0	0	0	2	0	0
FAM153C	0	1	0	0	2	0	0	1
FAM155A	331	137	49	61	96	76	144	160
FAM155B	165	95	142	142	201	133	183	143
FAM156A	2	2	2	1	1	3	1	1
FAM156B	6	3	7	5	2	6	5	0
FAM157A	3	0	5	7	8	8	2	3
FAM157B	0	0	0	0	0	0	0	0
FAM159A	0	0	0	0	0	0	1	0
FAM159B	0	0	0	0	0	0	0	0
FAM160A1	95	99	132	177	184	169	142	106
FAM160A2	551	482	506	673	616	608	733	416
FAM160B1	1756	1871	1501	1818	2351	1796	1851	1793
FAM160B2	530	581	684	1049	877	784	749	456
FAM161A	53	48	98	127	112	134	132	128
FAM161B	71	71	63	64	77	63	77	67
FAM162A	565	498	342	396	515	366	345	307
FAM162B	0	0	0	0	0	0	0	0
FAM163A	0	1	0	2	0	0	1	1
FAM163B	0	0	0	1	0	1	0	1
FAM166A	4	3	3	2	1	0	0	0
FAM166B	14	11	12	17	15	14	15	9
FAM167A	136	57	116	141	344	235	340	331
FAM167A-AS1	0	0	6	4	4	1	1	2
FAM167B	3	6	3	8	2	2	10	4
FAM168A	239	212	223	229	243	213	330	280
FAM168B	1762	1679	1754	2091	2209	2000	2336	2061
FAM169A	835	904	685	660	1068	835	1453	1761
FAM169B	0	1	4	3	7	3	0	1
FAM170A	0	2	4	4	3	4	1	1
FAM170B	0	0	0	0	0	0	0	0
FAM170B-AS1	0	0	0	0	0	0	0	0
FAM171A1	21	64	151	175	280	173	370	303
FAM171A2	142	103	140	152	165	103	143	127
FAM171B	256	128	130	150	241	193	311	353
FAM172A	3003	2430	1489	1723	2273	1714	2148	2126
FAM172BP	0	0	0	1	0	1	0	0
FAM173A	207	126	117	120	176	126	147	98
FAM173B	671	499	742	803	836	756	634	591
FAM174A	1695	1345	886	989	1271	1064	1042	1082
FAM174B	1252	1008	680	866	838	747	1011	736
FAM175A	160	115	181	213	266	230	174	161
FAM175B	639	556	513	495	602	455	459	467
FAM177A1	831	734	661	668	825	641	708	807
FAM177B	9	7	2	4	3	5	13	9
FAM178B	8	10	73	126	95	79	15	18
FAM179A	10	14	10	11	22	14	47	29
FAM179B	1202	1037	1086	1103	1348	1052	1242	1071
FAM180A	0	0	0	0	0	0	1	0
FAM180B	0	0	0	0	1	1	0	0
FAM181A	0	0	0	0	0	0	0	0
FAM181A-AS1	3	0	1	0	0	1	0	1
FAM181B	0	1	2	1	2	3	6	0
FAM182A	0	1	0	2	1	0	0	0
FAM182B	12	13	23	28	28	27	37	39
FAM183A	4	8	6	4	7	5	18	11
FAM183BP	0	0	1	1	2	1	2	1
FAM183CP	0	0	0	0	0	0	0	0
FAM184A	263	324	294	328	332	289	363	354
FAM184B	233	77	64	57	34	13	19	6
FAM185A	104	145	152	148	174	184	149	104
FAM186A	1	1	0	0	0	0	0	0
FAM186B	5	14	8	9	9	12	10	9
FAM187B	0	0	0	0	0	0	0	0
FAM188A	1478	1049	879	881	1253	957	1177	1155
FAM188B	2	5	12	5	4	5	7	7
FAM189A1	105	103	46	41	38	37	49	34
FAM189A2	2	1	29	37	34	43	48	35
FAM189B	81	92	125	151	108	106	63	65
FAM192A	1505	1177	1233	1244	1514	1185	1713	1426
FAM193A	454	475	660	844	619	627	612	381
FAM193B	558	544	643	847	668	580	606	431
FAM195A	190	126	83	93	143	113	142	126
FAM195B	1022	641	841	970	1210	870	1524	1247
FAM196A	730	1004	1992	1696	1800	1236	624	645
FAM196B	6	10	39	49	74	54	21	27
FAM197Y2P	0	0	0	0	0	0	0	0
FAM197Y5P	0	0	0	0	0	0	0	0
FAM198A	39	70	89	63	58	30	49	26
FAM198B	459	227	122	171	200	138	547	826
FAM199X	2730	2529	1930	2008	2744	2057	2588	2678
FAM19A1	0	0	0	1	0	1	1	1
FAM19A2	131	85	68	97	84	59	92	50
FAM19A3	2	0	4	5	5	8	2	3
FAM19A4	0	0	0	0	0	0	0	0
FAM19A5	0	0	0	1	0	0	0	0
FAM200A	192	246	319	292	408	313	358	357
FAM200B	546	427	373	333	633	459	474	517
FAM201A	29	13	14	9	29	12	47	39
FAM204A	1694	1871	1400	1459	1716	1413	1538	1719
FAM205A	0	0	0	0	0	0	0	0
FAM205BP	0	0	0	0	0	0	0	0
FAM206A	278	281	289	370	374	346	291	267
FAM207A	65	59	48	74	72	78	50	30
FAM208A	3621	3671	3436	3683	4293	3591	3217	3164
FAM208B	5585	4237	5334	6107	6597	5672	4211	4112
FAM209A	3	2	6	0	2	3	2	0
FAM209B	2	2	1	2	1	2	0	0
FAM20A	4	5	11	5	10	2	5	3
FAM20B	3539	3581	2963	3096	3886	2927	4207	3640
FAM20C	6	12	4	8	7	7	19	29
FAM210A	362	353	351	429	478	364	355	420
FAM210B	1618	1147	881	1280	1700	1408	1598	1505
FAM212A	5	3	7	4	16	6	6	8
FAM212B	12	25	150	129	128	108	96	69
FAM212B-AS1	1	1	1	5	7	3	5	4
FAM213A	1058	875	654	773	654	603	691	684
FAM213B	159	188	117	164	196	168	144	130
FAM214A	1653	1933	2894	3097	4939	4542	2596	3109
FAM214B	145	125	161	234	277	209	251	140
FAM215A	0	0	0	0	0	0	0	0
FAM216A	38	47	30	21	45	25	77	91
FAM216B	0	0	0	0	0	0	1	1
FAM217A	0	0	0	0	0	0	0	0
FAM217B	1298	1615	948	991	1231	895	914	979
FAM218A	0	0	0	0	0	0	0	0
FAM219A	513	394	449	517	587	535	641	491
FAM219B	1649	1270	965	1137	1504	1162	1902	1471
FAM21A	70	50	34	31	39	39	42	32
FAM21C	115	77	70	103	93	67	91	82
FAM220A	335	313	343	394	493	395	401	441
FAM221A	75	101	115	141	161	164	145	131
FAM221B	18	28	3	6	2	8	9	0
FAM222A	145	106	347	446	406	378	150	127
FAM222A-AS1	11	4	5	8	5	1	8	5
FAM222B	223	206	357	519	407	394	311	284
FAM223B	0	0	0	0	1	0	1	0
FAM224B	0	0	0	0	0	0	0	0
FAM225A	10	13	17	18	27	17	30	17
FAM225B	2	6	7	9	11	5	12	8
FAM226B	0	1	5	0	0	0	0	1
FAM227A	675	561	1539	1797	1547	1538	1357	763
FAM227B	31	34	26	22	31	32	15	25
FAM228A	3	9	10	18	10	13	9	5
FAM228B	88	100	57	96	140	98	139	148
FAM229A	8	6	8	10	8	9	7	7
FAM229B	40	52	29	25	95	60	89	120
FAM230C	0	0	0	0	0	0	0	0
FAM234A	790	585	647	853	964	833	709	627
FAM234B	6383	5378	983	1175	1591	1286	1681	1281
FAM24A	0	0	0	0	0	0	0	0
FAM24B	0	0	0	0	0	0	0	0
FAM24B-CUZD1	0	0	0	0	0	0	0	0
FAM25A	11	6	28	25	22	9	3	0
FAM25C	0	0	0	0	0	0	1	0
FAM26D	0	0	0	0	0	0	0	1
FAM26E	0	0	0	0	1	1	0	0
FAM26F	0	0	0	1	0	0	1	0
FAM27B	0	0	0	0	0	0	0	0
FAM27C	0	0	0	0	0	0	0	0
FAM27E5	0	0	0	0	0	0	0	0
FAM32A	815	659	529	549	779	581	730	667
FAM35A	580	578	456	500	632	449	385	411
FAM35BP	1	0	3	1	1	0	2	2
FAM35DP	4	3	7	1	0	3	5	1
FAM3A	198	108	146	146	179	137	197	134
FAM3B	54	123	68	64	24	16	11	12
FAM3C	242	237	381	358	411	409	228	285
FAM3D	3	1	0	1	0	3	0	1
FAM41AY2	0	0	0	0	0	0	0	0
